class,jo,prod
222,533600ASY,coptis rhizome butanol dried ext.(
222,533600ASY,ivy leaf
222,690300ASY,ammonium chloride
222,690300ASY,chlorpheniramine maleate
222,690300ASY,dihydrocodeine tartrate
222,690300ASY,DL-methylephedrine hydrochloride
222,690300ASY,pelargonium sidoides
229,100701ACH,acebrophylline
229,100702ATR,acebrophylline
229,113601ATB,bambuterol hydrochloride
229,220902ATB,pseudoephedrine hydrochloride
229,443600ATB,acetaminophen
229,443600ATB,sobrerol
229,490331ASY,pelargonium sidoides
229,490335ASY,pelargonium sidoides
229,490336ASY,pelargonium sidoides
229,490303ATB,pelargonium sidoides
229,614701ATB,roflumilast(micronized)
229,620301ATB,pirfenidone
229,620302ATB,pirfenidone
229,620303ATB,pirfenidone
229,683700ASY,ivy leaf
229,683700ASY,pelargonium sidoides
229,687100ASY,coptis rhizome dried ext.(
229,687100ASY,pelargonium sidoides
229,699901ATB,숙지황·목단피·오미자·천문동·황금·행인·백부근연조엑스(
231,149702ACH,doxycycline hyclate hydrate (as doxycycline
232,109931ALQ,sodium alginate
232,109932ALQ,sodium alginate
232,109935ALQ,sodium alginate
232,109937ALQ,sodium alginate
232,109903ATB,sodium alginate
232,115001ACH,benexate betadex
232,118101ASS,boehmite (as aluminum oxide
232,133301ATB,cimetidine
232,133302ATB,cimetidine
232,133303ATB,cimetidine
232,157301ATB,famotidine
232,157301ATD,famotidine
232,157302ATB,famotidine
232,157302ATD,famotidine
232,157303ATB,famotidine
232,167003ATB,glycopyrrolate
232,181301ACE,lansoprazole granule (as lansoprazole
232,181301ATD,lansoprazole
232,181302ACE,lansoprazole granule (as lansoprazole
232,181302ATD,lansoprazole
232,181302ATE,lansoprazole
232,196301ATB,1% misoprostol powder (as misoprostol   0.1mg)
232,196302ATB,1% misoprostol powder (as misoprostol   0.2mg)
232,202701ACH,nizatidine
232,202701ATB,nizatidine
232,202704ATB,nizatidine
232,204401ACE,omeprazole granule(enteric coated) (as omeprazole
232,204401ATE,omeprazole
232,204402ATE,omeprazole
232,204403ATE,omeprazole
232,208801ATE,pantoprazole sodium (as pantoprazole
232,208802ATE,pantoprazole sodium (as pantoprazole
232,222201ATE,rabeprazole sodium
232,222202ATE,rabeprazole sodium
232,222203ATE,rabeprazole sodium
232,222801ATB,ranitidine hydrochloride (as ranitidine
232,222901ATB,rebamipide
232,222902ATR,rebamipide
232,225201ACR,roxatidine acetate hydrochloride
232,225201ATR,roxatidine acetate hydrochloride
232,225202ACR,roxatidine acetate hydrochloride
232,233102ATB,sulglycotide
232,235401ACH,teprenone
232,244802ATB,tripotassium bismuth dicitrate
232,271800ATB,ranitidine hydrochloride (as ranitidine
232,271800ATB,sucralfate hydrate (as sucrose octasulfate
232,271800ATB,tripotassium bismuth dicitrate (as bismuth oxide
232,367201ACH,esomeprazole magnesium (as esomeprazole
232,367201ACR,esomeprazole magnesium (as esomeprazole
232,367201ATB,esomeprazole magnesium (as esomeprazole
232,367202ACH,esomeprazole magnesium (as esomeprazole
232,367202ACR,esomeprazole magnesium (as esomeprazole
232,367202ATB,esomeprazole magnesium (as esomeprazole
232,367203ACR,esomeprazole magnesium (as esomeprazole
232,367203ATB,esomeprazole magnesium (as esomeprazole
232,430101ATB,artemisiae argyi folium
232,430102ATB,artemisiae argyi folium
232,488601ATB,revaprazan
232,489302ATB,lafutidine
232,494201ATB,irsogladine maleate
232,494201ATD,irsogladine maleate
232,494202ATB,irsogladine maleate
232,494202ATD,irsogladine maleate
232,498001ACH,esomeprazole strontium tetrahydrate (as esomeprazole
232,498002ACH,esomeprazole strontium tetrahydrate (as esomeprazole
232,505501ATE,ilaprazole
232,505601ATB,polaprezinc
232,509902ACH,esomeprazole
232,519201ATE,S-pantoprazole sodium trihydrate (as S-pantoprazole
232,519202ATE,S-pantoprazole sodium trihydrate (as S-pantoprazole
232,621701ATB,artemisiae argyi folium isopropanol soft ext.(
232,621702ATB,artemisiae argyi folium isopropanol ext.
232,621901ACR,dexlansoprazole
232,621902ACR,dexlansoprazole
232,640200ATB,omeprazole
232,640200ATB,sodium bicarbonate
232,664500ATB,omeprazole
232,664500ATB,sodium bicarbonate
232,656701ATE,pantoprazole hemimagnesium monohydrate (as pantoprazole
232,670700ATB,esomeprazole magnesium (as esomeprazole
232,670700ATB,sodium bicarbonate
232,684100ATB,esomeprazole magnesium (as esomeprazole
232,684100ATB,sodium bicarbonate
232,706100ATB,esomeprazole magnesium (as esomeprazole
232,706100ATB,magnesium hydroxide
232,719500ATB,esomeprazole magnesium (as esomeprazole
232,719500ATB,sodium bicarbonate
232,719600ATB,esomeprazole magnesium (as esomeprazole
232,719600ATB,sodium bicarbonate
232,675801ATB,tegoprazan
232,675801ATD,tegoprazan
232,675802ATB,tegoprazan
232,694400ATB,calcium carbonate(precipitated)
232,694400ATB,esomeprazole magnesium (as esomeprazole
232,694500ATB,calcium carbonate(precipitated)
232,694500ATB,esomeprazole magnesium (as esomeprazole
232,704600ATB,rabeprazole sodium
232,704600ATB,sodium bicarbonate
232,705900ATB,rabeprazole sodium
232,705900ATB,sodium bicarbonate
232,706000ATB,rabeprazole sodium
232,706000ATB,sodium bicarbonate
232,726700ATB,rabeprazole sodium
232,726700ATB,sodium bicarbonate
232,704701ATB,fexuprazan hydrochloride
232,704702ATB,fexuprazan hydrochloride
232,708000ATB,esomeprazole magnesium (as esomeprazole
232,708000ATB,magnesium hydroxide
232,718400ATB,calcium carbonate(precipitated)
232,718400ATB,lansoprazole
232,730300ATB,magnesium oxide
232,730300ATB,rabeprazole sodium
234,105201ASS,almagate
234,105230ASS,almagate
234,105203ATB,almagate
234,105902ATB,aluminum hydroxide gel(dried) (as aluminum hydroxide
234,121801ATB,calcium carbonate
234,121901ATB,calcium carbonate(precipitated)
234,187201ASS,magnesium aluminum silicate
234,187203ATB,magnesium aluminum silicate
234,187402ATB,magnesium hydroxide
234,187501ATB,magnesium oxide
235,145901ATB,dimenhydrinate
235,167301ATB,granisetron hydrochloride (as granisetron
235,167301ATD,granisetron hydrochloride (as granisetron
235,204601ATD,ondansetron hydrochloride dihydrate (as ondansetron
235,204603ATB,ondansetron hydrochloride dihydrate (as ondansetron
235,204603ATD,ondansetron hydrochloride dihydrate (as ondansetron
235,222601ATD,ramosetron hydrochloride
235,483001ACH,aprepitant
235,483002ACH,aprepitant
235,674900ACH,netupitant
235,674900ACH,palonosetron hydrochloride
236,100301ACH,magnesium trihydrate salt of chenodesoxycholic acid and ursodesoxycholic acid
236,246502ATB,ursodeoxycholic acid
236,246503ACH,ursodeoxycholic acid
236,246506ATB,ursodeoxycholic acid
237,113231AGN,bacillus licheniformis
237,113232APD,bacillus licheniformis
237,113201ACH,bacillus licheniformis
237,146430ASS,dioctahedral smectite
237,146431ASS,dioctahedral smectite
237,146432ASS,dioctahedral smectite
237,164431APD,galactosidase(β)
237,180531AGN,lactobacillus acidophillus
237,180535AGN,lactobacillus acidophillus
237,180501ACH,lactobacillus acidophillus
237,185102ACH,loperamide hydrochloride
237,225402ACH,saccharomyces boulardii
237,225402APD,saccharomyces boulardii
237,231701ATB,streptococcus faecalis bio-
237,231802ACH,enterococcus faecium strain cernelle
237,461130APD,lactobacillus casei var. rhamnosus
237,461131APD,lactobacillus casei var. rhamnosus
237,461130AGN,lactobacillus casei var. rhamnosus
237,461131AGN,lactobacillus casei var. rhamnosus
237,461101ACH,lactobacillus casei var. rhamnosus
237,473533APD,bacillus subtilis·streptococcus faecium(streptococcus faecium
237,473502ACE,bacillus subtilis·streptococcus faecium(streptococcus faecium
237,473503ACE,bacillus subtilis·streptococcus faecium(streptococcus faecium
237,487401ACH,bacteria culture of Lactobacillus rhamnosus R
237,720200APD,d-biotin
237,720200APD,saccharomyces boulardii
237,727100APD,bacillus licheniformis
237,727100APD,calcium pantothenate
238,214630AGN,plantago seed/plantago seed cortex
238,415730APD,lactitol monohydrate
238,622001ATB,prucalopride succinate (as prucalopride
238,622002ATB,prucalopride succinate (as prucalopride
239,114511ATE,beclomethasone dipropionate
239,122301ATB,calcium polycarbophil
239,148432ASS,domperidone
239,148402ATB,domperidone
239,148501ATB,domperidone maleate (as domperidone
239,179001ATB,itopride hydrochloride
239,183501ATB,levosulpiride
239,190802AGR,mesalazine
239,190802ATR,mesalazine
239,190803ATR,mesalazine
239,190806AGR,mesalazine
239,190808ATR,mesalazine
239,190811ATR,mesalazine
239,190812ATR,mesalazine
239,193701ATB,metoclopramide
239,212501ATB,pinaverium bromide
239,222602ATB,ramosetron hydrochloride
239,222603ATB,ramosetron hydrochloride
239,227730ASS,simethicone
239,227731ASS,simethicone
239,227735ASS,simethicone
239,244330ASY,trimebutine maleate (as trimebutine
239,244301ATB,trimebutine maleate
239,244302ATB,trimebutine maleate
239,244303ATR,trimebutine maleate
239,244305ATB,trimebutine maleate
239,294300ACS,alverine citrate
239,294300ACS,simethicone
239,294400ACH,clebopride malate (as clebopride
239,294400ACH,simethicone
239,421001APD,mosapride citrate (as mosapride
239,421001ATB,mosapride citrate hydrate (as mosapride
239,421004ATR,mosapride citrate hydrate (as mosapride
239,475001ACH,balsalazide disodium dihydrate
239,593401ACH,E.coli strain Nissle
239,614901ATB,corydalis tuber·pharbitis seed(
239,668001ACH,migalastat hydrochloride (as migalastat
241,141401APD,desmopressin acetate (as desmopressin
241,141401ATB,desmopressin acetate (as desmopressin
241,141401ATD,desmopressin acetate (as desmopressin
241,141404APD,desmopressin acetate (as desmopressin
241,141404ATB,desmopressin acetate (as desmopressin
241,141404ATD,desmopressin acetate (as desmopressin
241,141407ATL,desmopressin acetate (as desmopressin
241,141408ATL,desmopressin acetate (as desmopressin
241,141409ATL,desmopressin acetate (as desmopressin
241,141410ATL,desmopressin acetate (as desmopressin
241,141411ATL,desmopressin acetate (as desmopressin
243,183601ATB,levothyroxine sodium
243,183602ATB,levothyroxine sodium
243,183603ATB,levothyroxine sodium
243,183604ATB,levothyroxine sodium
243,183606ATB,levothyroxine sodium
243,183607ATB,levothyroxine sodium
243,183608ATB,levothyroxine sodium
243,183609ATB,levothyroxine sodium
243,183610ATB,levothyroxine sodium
243,183611ATB,levothyroxine sodium
243,191801ATB,methimazole
243,191803ATB,methimazole
243,220101ATB,propylthiouracil
243,471501ATB,carbimazole
243,471502ATB,carbimazole
244,207201ATB,oxymetholone
245,116401ATB,betamethasone
245,140801ATB,deflazacort
245,141901ATB,dexamethasone
245,141903ATB,dexamethasone
245,141904ATB,dexamethasone
245,160201ATB,fludrocortisone acetate
245,170901ATB,hydrocortisone
245,170906ATB,hydrocortisone
245,193302ATB,methylprednisolone
245,193304ATB,methylprednisolone
245,193305ATB,methylprednisolone
245,217034ASY,prednisolone
245,217035ASY,prednisolone
245,217001ATB,prednisolone
245,243201ATB,triamcinolone
245,243202ATB,triamcinolone
245,243203ATB,triamcinolone
247,139401ATB,cyproterone acetate
247,140302ACH,danazol
247,154901ATB,estradiol hemihydrate (as estradiol
247,154903ATB,estradiol hemihydrate (as estradiol
247,155001ATB,estradiol valerate
247,155002ATB,estradiol valerate
247,155401ATB,conjugated estrogens
247,155402ATB,conjugated estrogens
247,188903ATB,medroxyprogesterone acetate
247,188906ATB,medroxyprogesterone acetate
247,195001ACS,micronized progesterone
247,239001ATB,tibolone
247,297400ATB,dydrogesterone
247,297400ATB,estradiol hemihydrate (as estradiol
247,297400ATB,estradiol hemihydrate (as estradiol
247,433700ATB,dydrogesterone
247,433700ATB,estradiol hemihydrate (as estradiol
247,433700ATB,estrodiol hemihydrate (as estradiol
247,398400ATB,cyproterone acetate
247,398400ATB,estradiol valerate
247,398400ATB,estradiol valerate
247,433800ATB,dydrogesterone
247,433800ATB,estradiol hemihydrate (as estradiol
247,490400ATB,drospirenone
247,490400ATB,estrodiol hemihydrate (as estrodiol
247,615701ATB,dienogest
249,136201ATB,clomiphene citrate
255,226702ACS,serenoa repens lipidosterolic ext.
255,505801ATB,Imidafenacin
259,104803ATR,alfuzosin hydrochloride
259,159001ATB,finasteride
259,159201ATB,flavoxate hydrochloride
259,210701ACH,pentosan polysulfate sodium
259,215902ATR,potassium citrate
259,219701ATB,propiverine hydrochloride
259,219702ATB,propiverine hydrochloride
259,234601ACR,tamsulosin hydrochloride
259,234601ATD,tamsulosin hydrochloride
259,234601ATR,tamsulosin hydrochloride
259,234603ACR,tamsulosin hydrochloride
259,234603ATD,tamsulosin hydrochloride
259,234603ATR,tamsulosin hydrochloride
259,235501ATB,terazosin hydrochloride (as terazosin
259,235502ATB,terazosin hydrochloride (as terazosin
259,235503ATB,terazosin hydrochloride (as terazosin
259,245501ATB,trospium chloride
259,299100AGN,citric acid
259,299100AGN,potassium citrate
259,357102ACR,tolterodine L-tartrate
259,357102ATB,tolterodine L-tartrate
259,357103ACR,tolterodine L-tartrate
259,357103ATR,tolterodine L-tartrate
259,458801ACS,dutasteride
259,458801ATB,dutasteride
259,493801ATB,solifenacin succinate
259,493802ATB,solifenacin succinate
259,503801ATR,fesoterodine fumarate
259,503802ATR,fesoterodine fumarate
259,504202ACH,silodosin
259,504202ATB,silodosin
259,504203ACH,silodosin
259,504203ATD,silodosin
259,614201ATB,naftopidil
259,614202ATB,naftopidil
259,614203ATB,naftopidil
259,625701ATR,mirabegron
259,625702ATR,mirabegron
259,655601ATB,solifenacin fumarate
259,655602ATB,solifenacin fumarate
259,657401ATB,solifenacin tartrate
259,657402ATB,solifenacin tartrate
259,698100ACR,dutasteride
259,698100ACR,tamsulosin hydrochloride
310,110405ATB,ascorbic acid
311,102301ACH,acitretin
311,104601ACS,alfacalcidol
311,104601ATB,alfacalcidol
311,104602ACS,alfacalcidol
311,121601ACS,calcitriol
311,178701ACS,isotretinoin
311,624001ACS,alitretinoin
311,624002ACS,alitretinoin
312,237301ATB,thiamine hydrochloride
313,162601ATB,folic acid
313,162602ATB,folic acid
313,188601ACH,mecobalamin
313,188602ACH,mecobalamin
313,188602ATB,mecobalamin
313,221603ATB,pyridoxine hydrochloride
313,221606ATB,pyridoxine hydrochloride
316,301500ATB,ascorbic acid
316,301500ATB,biotin
316,301500ATB,calcium pantothenate
316,301500ATB,cyanocobalamin
316,301500ATB,folic acid
316,301500ATB,nicotinamide
316,301500ATB,pyridoxine hydrochloride
316,301500ATB,riboflavin
316,301500ATB,thiamine nitrate
316,301600ATB,ascorbic acid
316,301600ATB,biotin
316,301600ATB,calcium pantothenate
316,301600ATB,cyanocobalamin
316,301600ATB,folic acid
316,301600ATB,nicotinamide
316,301600ATB,pyridoxine hydrochloride
316,301600ATB,riboflavin
316,301600ATB,thiamine nitrate
319,720400ATB,calcium citrate (as calcium
319,720400ATB,cholecalciferol concentrated powder (as vitamin D
319,720400ATB,cyanocobalamin
319,720400ATB,folic acid
319,712800ATB,ascorbic acid
319,712800ATB,calcium carbonate (as calcium)
319,712800ATB,cholecalciferol
321,205602ATB,ossopan substance
321,302600ATB,calcium carbonate
321,302600ATB,cholecalciferol
321,473800ATB,calcium carbonate (as calcium
321,473800ATB,cholecalciferol
321,480200ATB,calcium carbonate (as calcium
321,480200ATB,cholecalciferol
321,498200ATB,calcium carbonate (as calcium
321,498200ATB,cholecalciferol
321,498300ATB,calcium carbonate (as calcium
321,498300ATB,cholecalciferol
321,526100ATB,calcium carbonate (as calcium
321,526100ATB,cholecalciferol concentrated granule (as cholecalciferol
321,303200ATB,calcium carbonate(precipitated)
321,303200ATB,calcium gluconate hydrate
321,303200ATB,calcium lactate hydrate
321,303200ATB,ergocalciferol
321,503100ATB,calcium citrate (as calcium
321,503100ATB,cholecalciferol granule (as vitamin D
321,503100ATB,cyanocobalamin
321,503100ATB,folic acid
321,508700ATB,calcium citrate (as calcium
321,508700ATB,cholecalciferol concentrated powder (as vitamin D
321,519000ATB,calcium citrate (as calcium
321,519000ATB,cholecalciferol concentrated powder (as vitamin D
321,665600ATB,calcium citrate (as calcium
321,665600ATB,cholecalciferol concentrated powder (as vitamin D
321,670000ATB,calcium citrate (as calcium
321,670000ATB,cholecalciferol concentrated powder (as vitamin D
321,686700ATB,calcium citrate malate (as calcium
321,686700ATB,cholecalciferol concentrated powder (as vitamin D
321,462700ATB,calcium citrate (as calcium
321,462700ATB,cholecalciferol (vitamin D
322,158631ALQ,ferric hydroxide polymaltose complex (as Fe III
322,158634ALQ,ferric hydroxide polymaltose complex (as Fe III
322,158632ALQ,ferric hydroxide polymaltose complex (as Fe III
322,215001ACH,polysaccharide iron complex (as Fe
322,228902ACH,sodium ferric gluconate complex (as Fe III
322,303403ATR,ferrous sulfate dried (as Fe II
322,379330ALQ,iron acetyl transferrin (as Fe
322,379302ACH,iron acetyl transferrin (as Fe
322,533700ALQ,calcium folinate
322,533700ALQ,sodium ferric gluconate complex (as Fe III
325,434700ATB,L-histidine
325,434700ATB,L-lysine acetate
325,434700ATB,L-threonine
325,434700ATB,L-tryptophan
325,434700ATB,L-tyrosine
325,434700ATB,α-hydroxy-DL-methionine calcium
325,434700ATB,α-keto-DL-isoleucine calcium
325,434700ATB,α-ketoleucine calcium
325,434700ATB,α-ketophenylalanine calcium
325,434700ATB,α-ketovaline calcium
325,529300ALQ,biotin
325,529300ALQ,calcium chloride
325,529300ALQ,calcium citrate
325,529300ALQ,calcium pantothenate
325,529300ALQ,casein
325,529300ALQ,cholecalciferol
325,529300ALQ,copper sulfate
325,529300ALQ,cyanocobalamin
325,529300ALQ,ferrous gluconate
325,529300ALQ,folic acid
325,529300ALQ,isolated soybean protein
325,529300ALQ,magnesium chloride
325,529300ALQ,maltodextrine
325,529300ALQ,manganese sulfate
325,529300ALQ,nicotinamide
325,529300ALQ,palm oil
325,529300ALQ,perilla oil
325,529300ALQ,phytonadione
325,529300ALQ,potassium carbonate
325,529300ALQ,potassium chloride
325,529300ALQ,potassium citrate
325,529300ALQ,potassium dihydrogen phosphate
325,529300ALQ,purified sucrose
325,529300ALQ,pyridoxine hydrochloride
325,529300ALQ,riboflavin sodium phosphate
325,529300ALQ,sodium ascorbate
325,529300ALQ,sodium citrate
325,529300ALQ,soybean oil
325,529300ALQ,thiamine hydrochloride
325,529300ALQ,tocopherol acetate
325,529300ALQ,tricaprilin
325,529300ALQ,vitamine A oil
325,529300ALQ,zinc sulfate
325,529400ALQ,biotin
325,529400ALQ,calcium chloride
325,529400ALQ,calcium citrate
325,529400ALQ,calcium pantothenate
325,529400ALQ,casein
325,529400ALQ,cholecalciferol
325,529400ALQ,copper sulfate
325,529400ALQ,cyanocobalamin
325,529400ALQ,ferrous gluconate
325,529400ALQ,folic acid
325,529400ALQ,isolated soybean protein
325,529400ALQ,magnesium chloride
325,529400ALQ,maltodextrine
325,529400ALQ,manganese sulfate
325,529400ALQ,nicotinamide
325,529400ALQ,palm oil
325,529400ALQ,perilla oil
325,529400ALQ,phytonadione
325,529400ALQ,potassium carbonate
325,529400ALQ,potassium chloride
325,529400ALQ,potassium citrate
325,529400ALQ,potassium dihydrogen phosphate
325,529400ALQ,purified sucrose
325,529400ALQ,pyridoxine hydrochloride
325,529400ALQ,riboflavin sodium phosphate
325,529400ALQ,sodium ascorbate
325,529400ALQ,sodium citrate
325,529400ALQ,soybean oil
325,529400ALQ,thiamine hydrochloride
325,529400ALQ,tocopherol acetate
325,529400ALQ,tricaprilin
325,529400ALQ,vitamine A oil
325,529400ALQ,zinc sulfate
325,529500ASS,ascorbic acid
325,529500ASS,biotin
325,529500ASS,calcium citrate
325,529500ASS,calcium pantothenate
325,529500ASS,corn starch
325,529500ASS,cyanocobalamin powder
325,529500ASS,ferrous sulfate
325,529500ASS,folic acid
325,529500ASS,low lactose protein
325,529500ASS,magnesium carbonate
325,529500ASS,maltodextrine
325,529500ASS,nicotinamide
325,529500ASS,potassium citrate
325,529500ASS,pyridoxine hydrochloride
325,529500ASS,riboflavin
325,529500ASS,sodium chloride
325,529500ASS,soya oil
325,529500ASS,soybean hull dietary fiber powder
325,529500ASS,thiamine hydrochloride
325,529500ASS,tocopherol acetate powder
325,529500ASS,vegetable protein
325,529500ASS,vitamine A powder
325,529500ASS,whey protein
325,529500ASS,white sugar
325,529600ASS,ascorbic acid
325,529600ASS,biotin
325,529600ASS,calcium citrate
325,529600ASS,calcium pantothenate
325,529600ASS,corn starch
325,529600ASS,cyanocobalamin powder
325,529600ASS,ferrous sulfate
325,529600ASS,folic acid
325,529600ASS,low lactose protein
325,529600ASS,magnesium carbonate
325,529600ASS,maltodextrine
325,529600ASS,nicotinamide
325,529600ASS,potassium citrate
325,529600ASS,pyridoxine hydrochloride
325,529600ASS,riboflavin
325,529600ASS,sodium chloride
325,529600ASS,soya oil
325,529600ASS,soybean hull dietary fiber powder
325,529600ASS,thiamine hydrochloride
325,529600ASS,tocopherol acetate powder
325,529600ASS,vegetable protein
325,529600ASS,vitamine A powder
325,529600ASS,whey protein
325,529600ASS,white sugar
331,215801ATR,potassium chloride
332,242501ACH,tranexamic acid
333,249103ATB,warfarin sodium
333,249105ATB,warfarin sodium
333,511401ATB,rivaroxaban(micronized)
333,511402ATB,rivaroxaban(micronized)
333,511403ATB,rivaroxaban(micronized)
333,511404ACH,rivaroxaban(micronized)
333,511404ATB,rivaroxaban(micronized)
333,613701ACH,dabigatran etexilate mesylate (as dabigatran etexilate
333,613702ACH,dabigatran etexilate mesylate (as dabigatran etexilate
333,617001ATB,apixaban
333,617002ATB,apixaban
333,643601ATB,edoxaban tosilate hydrate (as edoxaban
333,643602ATB,edoxaban tosilate hydrate (as edoxaban
333,643603ATB,edoxaban tosilate hydrate (as edoxaban
339,116201ATB,beraprost sodium
339,116202ATB,beraprost sodium
339,133201ACR,cilostazol
339,133201ATB,cilostazol
339,133201ATR,cilostazol
339,133202ATB,cilostazol
339,133203ACR,cilostazol
339,133203ATR,cilostazol
339,174701ATB,indobufen
339,226101ATB,sarpogrelate hydrochloride
339,226103ATR,sarpogrelate hydrochloride
339,239201ATB,ticlopidine hydrochloride
339,239202ATB,ticlopidine hydrochloride
339,506100ATB,cilostazol
339,506100ATB,ginkgo biloba leaf ext.
339,687200ATR,cilostazol
339,687200ATR,ginkgo biloba leaf ext.
339,590701ATB,eltrombopag olamine (as eltrombopag
339,590702ATB,eltrombopag olamine (as eltrombopag
339,675600ALQ,dextrose
339,675600ALQ,potassium citrate monohydrate
339,675600ALQ,sodium chloride
339,675600ALQ,sodium citrate dihydrate
339,698300ALQ,dextrose
339,698300ALQ,potassium citrate monohydrate
339,698300ALQ,sodium chloride
339,698300ALQ,sodium citrate dihydrate
391,117701ATB,biphenyl dimethyl dicarboxylate
391,117702ACS,biphenyl dimethyl dicarboxylate
391,123907ACS,milk thistle fruit ext.
391,123908ACS,milk thistle fruit ext.
391,124001ACH,milk thistle fruit ext. powder
391,124002ACH,milk thistle fruit ext. powder
391,180901ATB,lamivudine
391,191201ATB,metadoxine
391,205002ACM,L-ornithine-L-aspartate
391,205002APD,L-ornithine-L-aspartate
391,246501ATB,ursodeoxycholic acid
391,305900ACH,biphenyl dimethyl dicarboxylate
391,305900ACH,garlic oil
391,427800ACH,adenine hydrochloride
391,427800ACH,antitoxic liver ext.
391,427800ACH,biphenyl dimethyl dicarboxylate
391,427800ACH,carnitine orotate
391,427800ACH,cyanocobalamin
391,427800ACH,pyridoxine hydrochloride
391,427800ACH,riboflavin
391,448000ACH,biphenyl dimethyl dicarboxylate
391,448000ACH,ursodeoxycholic acid
391,457501ATB,adefovir dipivoxil
391,474931AGN,sodium phenylbutyrate
391,487202ATB,entecavir
391,487202ATD,entecavir
391,487203ATB,entecavir
391,487203ATD,entecavir
391,487802ACH,clevudine
391,506001ATB,telbivudine
391,665301ATB,tenofovir alafenamide hemifumarate (as tenofovir alafenamide
391,665401ATB,besifovir dipivoxil maleate (as besifovir dipivoxil
391,715101ATB,tenofovir alafenamide citrate (as tenofovir alafenamide
391,716301ATB,tenofovir alafenamide hemitartrate (as tenofovir alafenamide
391,716401ATB,tenofovir alafenamide succinate (as tenofovir alafenamide
391,720701ATB,tenofovir alafenamide hemimalate (as tenofovir alafenamide
392,182503ATB,calcium folinate (as folinate
392,199201ATB,naltrexone hydrochloride
392,199202ATB,naltrexone hydrochloride
392,209901ACH,d-penicillamine
392,209902ACH,d-penicillamine
392,363401ATB,pralidoxime chloride
392,459701AGN,spherical adsorptive carbon
392,459701ATD,spherical adsorptive carbon
392,459702ACH,spherical adsorptive carbon
392,480101ACH,trientine hydrochloride
392,486007ASS,deferasirox
392,486010ASS,deferasirox
392,486001ATD,deferasirox
392,486002ATD,deferasirox
392,486003ATD,deferasirox
392,486004ATB,deferasirox
392,486005ATB,deferasirox
392,486006ATB,deferasirox
392,486009APD,deferasirox
392,494001APD,betaine anhydrous
392,512001ACH,zinc acetate
394,105001ATB,allopurinol
394,137801ATB,colchicine
394,567401ATB,febuxostat
394,567403ATB,febuxostat
395,451201ATE,bromelain
395,451202ATE,bromelain
396,100601ATB,acarbose
396,100602ATB,acarbose
396,165402ATB,glibenclamide
396,165602ATB,gliclazide
396,165603ATR,gliclazide
396,165604ATR,gliclazide
396,165701ATB,glimepiride
396,165702ATB,glimepiride
396,165703ATB,glimepiride
396,165704ATB,glimepiride
396,165801ATB,glipizide
396,191501ATB,metformin hydrochloride
396,191502ATB,metformin hydrochloride
396,191502ATR,metformin hydrochloride
396,191503ATB,metformin hydrochloride
396,191503ATR,metformin hydrochloride
396,191504ATB,metformin hydrochloride
396,191504ATR,metformin hydrochloride
396,191505ATR,metformin hydrochloride
396,249001ATB,voglibose
396,249002ATB,voglibose
396,379501ATB,repaglinide
396,379502ATB,repaglinide
396,379503ATB,repaglinide
396,430201ATB,nateglinide
396,430202ATB,nateglinide
396,430203ATB,nateglinide
396,431901ATB,pioglitazone hydrochloride (as pioglitazone
396,431902ATB,pioglitazone hydrochloride (as pioglitazone
396,443400ATB,glibenclamide
396,443400ATB,metformin hydrochloride
396,443500ATB,glibenclamide
396,443500ATB,metformin hydrochloride
396,474200ATB,glimepiride
396,474200ATB,metformin hydrochloride
396,474300ATB,glimepiride
396,474300ATB,metformin hydrochloride
396,474300ATR,glimepiride
396,474300ATR,metformin hydrochloride
396,498600ATB,glimepiride
396,498600ATB,metformin hydrochloride
396,486101ATB,Mitiglinide Calcium hydrate
396,497200ATB,gliclazide
396,497200ATB,metformin hydrochloride
396,498100ATB,metformin hydrochloride
396,498100ATB,pioglitazone hydrochloride (as pioglitazone
396,500801ATB,vildagliptin
396,501101ATB,sitagliptin phosphate hydrate (as sitagliptin
396,501102ATB,sitagliptin phosphate hydrate (as sitagliptin
396,501103ATB,sitagliptin phosphate hydrate (as sitagliptin
396,502300ATB,metformin hydrochloride
396,502300ATB,sitagliptin phosphate hydrate (as sitagliptin
396,502300ATR,metformin hydrochloride
396,502300ATR,sitagliptin phosphate hydrate (as sitagliptin
396,502900ATB,metformin hydrochloride
396,502900ATB,sitagliptin phosphate hydrate (as sitagliptin
396,513700ATB,metformin hydrochloride
396,513700ATB,sitagliptin phosphate hydrate (as sitagliptin
396,513700ATR,metformin hydrochloride
396,513700ATR,sitagliptin phosphate hydrate (as sitagliptin
396,524700ATR,metformin hydrochloride
396,524700ATR,sitagliptin phosphate hydrate (as sitagliptin
396,507000ATB,metformin hydrochloride
396,507000ATB,vildagliptin
396,507100ATB,metformin hydrochloride
396,507100ATB,vildagliptin
396,519600ATB,metformin hydrochloride
396,519600ATB,vildagliptin
396,518500ATR,metformin hydrochloride
396,518500ATR,saxagliptin hydrate (as saxagliptin
396,518600ATR,metformin hydrochloride
396,518600ATR,saxagliptin hydrate (as saxagliptin
396,520500ATB,linagliptin
396,520500ATB,metformin hydrochloride
396,520600ATB,linagliptin
396,520600ATB,metformin hydrochloride
396,520700ATB,linagliptin
396,520700ATB,metformin hydrochloride
396,523800ATR,gemigliptin tartrate sesquihydrate (as gemigliptin
